No.,Time,Source,Destination,Protocol,Length,Info,Target
217,7.11173,192.168.4.184,239.255.255.250,SSDP,217,M-SEARCH * HTTP/1.1 ,1
218,7.144505,192.168.0.27,224.0.0.1,IGMPv2,60,"Membership Query, general",2
219,7.148328,Routerbo_3f:8a:9d,Broadcast,ARP,60,Who has 14.102.45.28? Tell 14.102.45.17,1
220,7.186061,192.168.0.90,224.0.0.251,IGMPv2,60,Membership Report group 224.0.0.251,2
221,7.188717,Routerbo_3f:8a:9d,Broadcast,ARP,60,Who has 14.102.45.24? Tell 14.102.45.17,1
222,7.193699,192.168.0.13,224.0.0.252,IGMPv2,60,Membership Report group 224.0.0.252,2
223,7.202802,192.168.4.183,239.255.255.250,IGMPv2,60,Membership Report group 239.255.255.250,2
224,7.248723,Routerbo_3f:8a:9d,Broadcast,ARP,60,Who has 103.215.238.166? Tell 103.215.238.165,1
225,7.429261,192.168.0.238,239.255.255.250,SSDP,217,M-SEARCH * HTTP/1.1 ,1
226,7.497069,192.168.0.43,224.0.0.252,LLMNR,64,Standard query 0x9581 A wpad,2
227,7.504819,192.168.4.214,239.255.255.250,SSDP,217,M-SEARCH * HTTP/1.1 ,1
228,7.558655,Routerbo_3f:8a:9d,Broadcast,ARP,60,Who has 103.215.238.30? Tell 103.215.238.29,1
229,7.561037,192.168.0.54,192.168.0.255,BROWSER,243,"Host Announcement DESKTOP-F54TT4J, Workstation, Server, SQL Server, NT Workstation",2
230,7.596694,192.168.0.43,224.0.0.252,LLMNR,64,Standard query 0x9581 A wpad,2
231,7.628691,Routerbo_3f:8a:9d,Broadcast,ARP,60,Who has 103.215.238.134? Tell 103.215.238.133,1
232,7.640025,192.168.0.55,224.0.0.251,MDNS,74,"Standard query 0x0000 A CENTOS-8.local, ""QM"" question",2
233,7.641546,192.168.0.55,224.0.0.251,MDNS,74,"Standard query 0x0000 AAAA CENTOS-8.local, ""QM"" question",2
234,7.645583,192.168.0.55,224.0.0.252,LLMNR,68,Standard query 0x06f5 A CENTOS-8,2
235,7.648479,192.168.0.55,224.0.0.252,LLMNR,68,Standard query 0xb121 AAAA CENTOS-8,2
236,7.67137,192.168.0.30,239.255.255.250,SSDP,312,NOTIFY * HTTP/1.1  ,1
237,7.671725,192.168.0.30,239.255.255.250,SSDP,321,NOTIFY * HTTP/1.1  ,1
238,7.672112,192.168.0.30,239.255.255.250,SSDP,384,NOTIFY * HTTP/1.1  ,1
239,7.672491,192.168.0.30,239.255.255.250,SSDP,376,NOTIFY * HTTP/1.1  ,1
240,7.672867,192.168.0.30,239.255.255.250,SSDP,321,NOTIFY * HTTP/1.1  ,1
241,7.673217,192.168.0.30,239.255.255.250,SSDP,360,NOTIFY * HTTP/1.1  ,1
242,7.673597,192.168.0.30,239.255.255.250,SSDP,392,NOTIFY * HTTP/1.1  ,1
243,7.673947,192.168.0.30,239.255.255.250,SSDP,321,NOTIFY * HTTP/1.1  ,1
244,7.674333,192.168.0.30,239.255.255.250,SSDP,380,NOTIFY * HTTP/1.1  ,1
245,7.674711,192.168.0.30,239.255.255.250,SSDP,386,NOTIFY * HTTP/1.1  ,1
246,7.675088,192.168.0.30,239.255.255.250,SSDP,374,NOTIFY * HTTP/1.1  ,1
